Press Association Reference,Constituency Name,Region,CODE,Electorate 10,Votes 10,Conservative 10,Green 10,Labour 10,Lib Dems 10,Other 10,Plaid 10,SNP 10,UKIP 10,Winner 10,Second Place 10,Third Place 10,Fourth Place 10,Turnout 10,Conservative Vote Share 10,Green Vote Share 10,Labour Vote Share 10,Lib Dems Vote Share 10,Other Vote Share 10,Plaid Vote Share 10,SNP Vote Share 10,UKIP Vote Share 10
133,Carshalton & Wallington,London,E14000621,66524,45918,16920,355,4015,22180,1100,0,0,1348,Lib Dems,Conservative,Labour,UKIP,69.0,36.8,0.8,8.7,48.3,2.4,0.0,0.0,2.9
134,Castle Point,Eastern,E14000622,67284,45026,19806,0,6609,4232,14379,0,0,0,Conservative,Other,Labour,Lib Dems,66.9,44.0,0.0,14.7,9.4,31.9,0.0,0.0,0.0
135,Ceredigion,Wales,W07000064,59882,38258,4421,696,2210,19139,0,10815,0,977,Lib Dems,Plaid,Conservative,Labour,63.9,11.6,1.8,5.8,50.0,0.0,28.3,0.0,2.6
136,Charnwood,East Midlands,E14000625,74473,53542,26560,0,10536,11531,3116,0,0,1799,Conservative,Lib Dems,Labour,Other,71.9,49.6,0.0,19.7,21.5,5.8,0.0,0.0,3.4
137,Chatham & Aylesford,South East,E14000626,67964,43807,20230,396,14161,5832,1874,0,0,1314,Conservative,Labour,Lib Dems,Other,64.5,46.2,0.9,32.3,13.3,4.3,0.0,0.0,3.0
138,Cheadle,North West,E14000627,71635,52512,21445,0,4920,24717,0,0,0,1430,Lib Dems,Conservative,Labour,UKIP,73.3,40.8,0.0,9.4,47.1,0.0,0.0,0.0,2.7
139,Chelmsford,Eastern,E14000628,77525,54593,25207,476,5980,20097,1306,0,0,1527,Conservative,Lib Dems,Labour,UKIP,70.4,46.2,0.9,11.0,36.8,2.4,0.0,0.0,2.8
140,Chelsea & Fulham,London,E14000629,66257,39856,24093,671,7371,6473,770,0,0,478,Conservative,Labour,Lib Dems,Other,60.2,60.5,1.7,18.5,16.2,1.9,0.0,0.0,1.2
141,Cheltenham,South West,E14000630,78998,52786,21739,0,2703,26659,493,0,0,1192,Lib Dems,Conservative,Labour,UKIP,66.8,41.2,0.0,5.1,50.5,0.9,0.0,0.0,2.3
142,Chesham & Amersham,South East,E14000631,70333,52444,31658,767,2942,14948,0,0,0,2129,Conservative,Lib Dems,Labour,UKIP,74.6,60.4,1.5,5.6,28.5,0.0,0.0,0.0,4.1
143,"Chester, City of",North West,E14000640,70131,46790,18995,535,16412,8930,693,0,0,1225,Conservative,Labour,Lib Dems,UKIP,66.7,40.6,1.1,35.1,19.1,1.5,0.0,0.0,2.6
144,Chesterfield,East Midlands,E14000632,71878,45839,7214,600,17891,17342,1360,0,0,1432,Labour,Lib Dems,Conservative,UKIP,63.8,15.7,1.3,39.0,37.8,3.0,0.0,0.0,3.1
145,Chichester,South East,E14000633,81576,56787,31427,0,5937,15550,0,0,0,3873,Conservative,Lib Dems,Labour,UKIP,69.6,55.3,0.0,10.5,27.4,0.0,0.0,0.0,6.8
146,Chingford & Woodford Green,London,E14000634,64831,43106,22743,650,9780,7242,1558,0,0,1133,Conservative,Labour,Lib Dems,Other,66.5,52.8,1.5,22.7,16.8,3.6,0.0,0.0,2.6
147,Chippenham,South West,E14000635,72106,52385,21500,446,3620,23970,1066,0,0,1783,Lib Dems,Conservative,Labour,UKIP,72.6,41.0,0.9,6.9,45.8,2.0,0.0,0.0,3.4
148,Chipping Barnet,London,E14000636,75120,50608,24700,1021,12773,10202,470,0,0,1442,Conservative,Labour,Lib Dems,UKIP,67.4,48.8,2.0,25.2,20.2,0.9,0.0,0.0,2.8
149,Chorley,North West,E14000637,70976,49774,18922,0,21515,6957,359,0,0,2021,Labour,Conservative,Lib Dems,UKIP,70.1,38.0,0.0,43.2,14.0,0.7,0.0,0.0,4.1
150,Christchurch,South West,E14000638,68859,49416,27888,0,4849,12478,0,0,0,4201,Conservative,Lib Dems,Labour,UKIP,71.8,56.4,0.0,9.8,25.3,0.0,0.0,0.0,8.5
151,Cities of London & Westminster,London,E14000639,66849,36931,19264,778,8188,7574,463,0,0,664,Conservative,Labour,Lib Dems,Green,55.2,52.2,2.1,22.2,20.5,1.3,0.0,0.0,1.8
152,Clacton,Eastern,E14000642,67194,43123,22867,535,10799,5577,3345,0,0,0,Conservative,Labour,Lib Dems,Other,64.2,53.0,1.2,25.0,12.9,7.8,0.0,0.0,0.0
153,Cleethorpes,Yorkshire and the Humber,E14000643,70214,44966,18939,0,14641,8192,0,0,0,3194,Conservative,Labour,Lib Dems,UKIP,64.0,42.1,0.0,32.6,18.2,0.0,0.0,0.0,7.1
154,Clwyd South,Wales,W07000062,53748,34681,10477,0,13311,5965,1100,3009,0,819,Labour,Conservative,Lib Dems,Plaid,64.5,30.2,0.0,38.4,17.2,3.2,8.7,0.0,2.4
155,Clwyd West,Wales,W07000059,57913,38111,15833,0,9414,5801,335,5864,0,864,Conservative,Labour,Plaid,Lib Dems,65.8,41.5,0.0,24.7,15.2,0.9,15.4,0.0,2.3
156,"Coatbridge, Chryston & Bellshill",Scotland,S14000011,70067,41635,3374,0,27728,3519,0,0,7014,0,Labour,SNP,Lib Dems,Conservative,59.4,8.1,0.0,66.6,8.5,0.0,0.0,16.8,0.0
157,Colchester,Eastern,E14000644,74064,46139,15169,694,5680,22151,1095,0,0,1350,Lib Dems,Conservative,Labour,UKIP,62.3,32.9,1.5,12.3,48.0,2.4,0.0,0.0,2.9
158,Colne Valley,Yorkshire and the Humber,E14000645,80060,55296,20440,867,14589,15603,2634,0,0,1163,Conservative,Lib Dems,Labour,Other,69.1,37.0,1.6,26.4,28.2,4.8,0.0,0.0,2.1
159,Congleton,North West,E14000646,72280,50780,23250,0,8747,16187,449,0,0,2147,Conservative,Lib Dems,Labour,UKIP,70.3,45.8,0.0,17.2,31.9,0.9,0.0,0.0,4.2
160,Copeland,North West,E14000647,63149,42787,15866,389,19699,4365,1474,0,0,994,Labour,Conservative,Lib Dems,Other,67.8,37.1,0.9,46.0,10.2,3.4,0.0,0.0,2.3
161,Corby,East Midlands,E14000648,78024,54236,22886,0,20991,7834,2525,0,0,0,Conservative,Labour,Lib Dems,Other,69.5,42.2,0.0,38.7,14.4,4.7,0.0,0.0,0.0
162,Cornwall North,South West,E14000837,67940,46844,19531,0,1971,22512,530,0,0,2300,Lib Dems,Conservative,UKIP,Labour,68.9,41.7,0.0,4.2,48.1,1.1,0.0,0.0,4.9
163,Cornwall South East,South West,E14000938,71373,49617,22390,826,3507,19170,641,0,0,3083,Conservative,Lib Dems,Labour,UKIP,69.5,45.1,1.7,7.1,38.6,1.3,0.0,0.0,6.2
164,"Cotswolds, The",South West,E14000991,76729,54832,29075,940,5886,16211,428,0,0,2292,Conservative,Lib Dems,Labour,UKIP,71.5,53.0,1.7,10.7,29.6,0.8,0.0,0.0,4.2
165,Coventry North East,West Midlands,E14000649,73035,43383,9609,0,21384,7210,3889,0,0,1291,Labour,Conservative,Lib Dems,Other,59.4,22.1,0.0,49.3,16.6,9.0,0.0,0.0,3.0
166,Coventry North West,West Midlands,E14000650,72871,46560,13648,497,19936,8344,2840,0,0,1295,Labour,Conservative,Lib Dems,Other,63.9,29.3,1.1,42.8,17.9,6.1,0.0,0.0,2.8
167,Coventry South,West Midlands,E14000651,73652,45924,15352,639,19197,8278,691,0,0,1767,Labour,Conservative,Lib Dems,UKIP,62.4,33.4,1.4,41.8,18.0,1.5,0.0,0.0,3.8
168,Crawley,South East,E14000652,72781,47504,21264,598,15336,6844,2080,0,0,1382,Conservative,Labour,Lib Dems,Other,65.3,44.8,1.3,32.3,14.4,4.4,0.0,0.0,2.9
169,Crewe & Nantwich,North West,E14000653,79728,51084,23420,0,17374,7656,1220,0,0,1414,Conservative,Labour,Lib Dems,UKIP,64.1,45.8,0.0,34.0,15.0,2.4,0.0,0.0,2.8
170,Croydon Central,London,E14000654,76349,49667,19567,581,16688,6553,5281,0,0,997,Conservative,Labour,Lib Dems,Other,65.1,39.4,1.2,33.6,13.2,10.6,0.0,0.0,2.0
171,Croydon North,London,E14000655,85216,51676,12466,1017,28947,7226,1129,0,0,891,Labour,Conservative,Lib Dems,Other,60.6,24.1,2.0,56.0,14.0,2.2,0.0,0.0,1.7
172,Croydon South,London,E14000656,81303,56322,28684,981,11287,12866,0,0,0,2504,Conservative,Lib Dems,Labour,UKIP,69.3,50.9,1.7,20.0,22.8,0.0,0.0,0.0,4.4
173,"Cumbernauld, Kilsyth & Kirkintilloch East",Scotland,S14000012,64037,41150,3407,0,23549,3924,476,0,9794,0,Labour,SNP,Lib Dems,Conservative,64.3,8.3,0.0,57.2,9.5,1.2,0.0,23.8,0.0
174,Cynon Valley,Wales,W07000070,50650,29876,3010,0,15681,4120,0,6064,0,1001,Labour,Plaid,Lib Dems,Conservative,59.0,10.1,0.0,52.5,13.8,0.0,20.3,0.0,3.4
175,Dagenham & Rainham,London,E14000657,69764,44232,15183,296,17813,3806,5565,0,0,1569,Labour,Conservative,Other,Lib Dems,63.4,34.3,0.7,40.3,8.6,12.6,0.0,0.0,3.5
176,Darlington,North East,E14000658,68168,42896,13503,0,16891,10046,1262,0,0,1194,Labour,Conservative,Lib Dems,Other,62.9,31.5,0.0,39.4,23.4,2.9,0.0,0.0,2.8
177,Dartford,South East,E14000659,76271,50080,24428,0,13800,7361,2649,0,0,1842,Conservative,Labour,Lib Dems,Other,65.7,48.8,0.0,27.6,14.7,5.3,0.0,0.0,3.7
178,Daventry,East Midlands,E14000660,71452,51774,29252,770,8168,10064,1187,0,0,2333,Conservative,Lib Dems,Labour,UKIP,72.5,56.5,1.5,15.8,19.4,2.3,0.0,0.0,4.5
179,Delyn,Wales,W07000042,53470,36984,12811,0,15083,5747,844,1844,0,655,Labour,Conservative,Lib Dems,Plaid,69.2,34.6,0.0,40.8,15.5,2.3,5.0,0.0,1.8
180,Denton & Reddish,North West,E14000661,66330,37635,9360,0,19191,6727,297,0,0,2060,Labour,Conservative,Lib Dems,UKIP,56.7,24.9,0.0,51.0,17.9,0.8,0.0,0.0,5.5
181,Derby North,East Midlands,E14000662,71474,45080,14283,0,14896,12638,2434,0,0,829,Labour,Conservative,Lib Dems,Other,63.1,31.7,0.0,33.0,28.0,5.4,0.0,0.0,1.8
182,Derby South,East Midlands,E14000663,70999,41188,11729,0,17851,8430,1357,0,0,1821,Labour,Conservative,Lib Dems,UKIP,58.0,28.5,0.0,43.3,20.5,3.3,0.0,0.0,4.4
183,Derbyshire Dales,East Midlands,E14000664,63376,46780,24378,772,9061,10512,278,0,0,1779,Conservative,Lib Dems,Labour,UKIP,73.8,52.1,1.7,19.4,22.5,0.6,0.0,0.0,3.8
184,Derbyshire Mid,East Midlands,E14000814,66074,47342,22877,0,11585,9711,1917,0,0,1252,Conservative,Labour,Lib Dems,Other,71.6,48.3,0.0,24.5,20.5,4.0,0.0,0.0,2.6
185,Derbyshire North East,East Midlands,E14000843,71398,47034,15503,0,17948,10947,0,0,0,2636,Labour,Conservative,Lib Dems,UKIP,65.9,33.0,0.0,38.2,23.3,0.0,0.0,0.0,5.6
186,Derbyshire South,East Midlands,E14000935,70608,50419,22935,0,15807,8012,2459,0,0,1206,Conservative,Labour,Lib Dems,Other,71.4,45.5,0.0,31.4,15.9,4.9,0.0,0.0,2.4
187,Devizes,South West,E14000665,67379,46340,25519,813,4711,12514,707,0,0,2076,Conservative,Lib Dems,Labour,UKIP,68.8,55.1,1.8,10.2,27.0,1.5,0.0,0.0,4.5
188,Devon Central,South West,E14000623,71203,53873,27737,1044,3715,18507,0,0,0,2870,Conservative,Lib Dems,Labour,UKIP,75.7,51.5,1.9,6.9,34.4,0.0,0.0,0.0,5.3
189,Devon East,South West,E14000678,73109,53092,25662,815,5721,16548,0,0,0,4346,Conservative,Lib Dems,Labour,UKIP,72.6,48.3,1.5,10.8,31.2,0.0,0.0,0.0,8.2
190,Devon North,South West,E14000838,74508,51321,18484,697,2671,24305,1444,0,0,3720,Lib Dems,Conservative,UKIP,Labour,68.9,36.0,1.4,5.2,47.4,2.8,0.0,0.0,7.2
191,Devon South West,South West,E14000950,70813,49860,27908,641,6193,12034,0,0,0,3084,Conservative,Lib Dems,Labour,UKIP,70.4,56.0,1.3,12.4,24.1,0.0,0.0,0.0,6.2
192,Devon West & Torridge,South West,E14001000,77360,55257,25230,1050,2917,22273,766,0,0,3021,Conservative,Lib Dems,UKIP,Labour,71.4,45.7,1.9,5.3,40.3,1.4,0.0,0.0,5.5
193,Dewsbury,Yorkshire and the Humber,E14000666,78910,54008,18898,849,17372,9150,7739,0,0,0,Conservative,Labour,Lib Dems,Other,68.4,35.0,1.6,32.2,16.9,14.3,0.0,0.0,0.0
194,Don Valley,Yorkshire and the Humber,E14000667,72597,43420,12877,0,16472,7422,4745,0,0,1904,Labour,Conservative,Lib Dems,Other,59.8,29.7,0.0,37.9,17.1,10.9,0.0,0.0,4.4
195,Doncaster Central,Yorkshire and the Humber,E14000668,72985,41745,10340,0,16569,8795,4620,0,0,1421,Labour,Conservative,Lib Dems,Other,57.2,24.8,0.0,39.7,21.1,11.1,0.0,0.0,3.4
196,Doncaster North,Yorkshire and the Humber,E14000669,71681,41483,8728,0,19637,6174,5147,0,0,1797,Labour,Conservative,Lib Dems,Other,57.9,21.0,0.0,47.3,14.9,12.4,0.0,0.0,4.3
197,Dorset Mid & Poole North,South West,E14000815,64660,46788,20831,0,2748,21100,0,0,0,2109,Lib Dems,Conservative,Labour,UKIP,72.4,44.5,0.0,5.9,45.1,0.0,0.0,0.0,4.5
198,Dorset North,South West,E14000839,73741,54141,27640,546,2910,20015,218,0,0,2812,Conservative,Lib Dems,Labour,UKIP,73.4,51.1,1.0,5.4,37.0,0.4,0.0,0.0,5.2
199,Dorset South,South West,E14000936,73360,50310,22667,595,15224,9557,233,0,0,2034,Conservative,Labour,Lib Dems,UKIP,68.6,45.1,1.2,30.3,19.0,0.5,0.0,0.0,4.0
200,Dorset West,South West,E14001031,76869,57337,27287,675,3815,23364,0,0,0,2196,Conservative,Lib Dems,Labour,UKIP,74.6,47.6,1.2,6.7,40.7,0.0,0.0,0.0,3.8
201,Dover,South East,E14000670,71833,50385,22174,0,16900,7962,1602,0,0,1747,Conservative,Labour,Lib Dems,UKIP,70.1,44.0,0.0,33.5,15.8,3.2,0.0,0.0,3.5
202,Down North,Northern Ireland,N06000013,60698,33481,0,1043,0,0,32438,0,0,0,Other,Green,Conservative,Conservative,55.2,0.0,3.1,0.0,0.0,96.9,0.0,0.0,0.0
203,Down South,Northern Ireland,N06000015,70784,42589,0,901,0,0,41688,0,0,0,Other,Green,Conservative,Conservative,60.2,0.0,2.1,0.0,0.0,97.9,0.0,0.0,0.0
204,Dudley North,West Midlands,E14000671,60838,38602,14274,0,14923,4066,2072,0,0,3267,Labour,Conservative,Lib Dems,UKIP,63.5,37.0,0.0,38.7,10.5,5.4,0.0,0.0,8.5
205,Dudley South,West Midlands,E14000672,60572,38165,16450,0,12594,5989,0,0,0,3132,Conservative,Labour,Lib Dems,UKIP,63.0,43.1,0.0,33.0,15.7,0.0,0.0,0.0,8.2
206,Dulwich & West Norwood,London,E14000673,72817,48214,10684,1266,22461,13096,0,0,0,707,Labour,Lib Dems,Conservative,Green,66.2,22.2,2.6,46.6,27.2,0.0,0.0,0.0,1.5
207,Dumfries & Galloway,Scotland,S14000013,74584,52173,16501,0,23950,4608,0,0,6419,695,Labour,Conservative,SNP,Lib Dems,70.0,31.6,0.0,45.9,8.8,0.0,0.0,12.3,1.3
208,"Dumfriesshire, Clydesdale & Tweeddale",Scotland,S14000014,66627,45892,17457,510,13263,9080,0,0,4945,637,Conservative,Labour,Lib Dems,SNP,68.9,38.0,1.1,28.9,19.8,0.0,0.0,10.8,1.4
209,Dunbartonshire East,Scotland,S14000018,63795,47948,7431,0,16367,18551,0,0,5054,545,Lib Dems,Labour,Conservative,SNP,75.2,15.5,0.0,34.1,38.7,0.0,0.0,10.5,1.1
210,Dunbartonshire West,Scotland,S14000059,66086,42266,3242,0,25905,3434,505,0,8497,683,Labour,SNP,Lib Dems,Conservative,64.0,7.7,0.0,61.3,8.1,1.2,0.0,20.1,1.6
211,Dundee East,Scotland,S14000015,65471,40568,6177,542,13529,4285,254,0,15350,431,SNP,Labour,Conservative,Lib Dems,62.0,15.2,1.3,33.3,10.6,0.6,0.0,37.8,1.1
212,Dundee West,Scotland,S14000016,63013,37126,3461,0,17994,4233,722,0,10716,0,Labour,SNP,Lib Dems,Conservative,58.9,9.3,0.0,48.5,11.4,1.9,0.0,28.9,0.0
213,Dunfermline & Fife West,Scotland,S14000017,73590,48947,3305,0,22639,17169,0,0,5201,633,Labour,Lib Dems,SNP,Conservative,66.5,6.8,0.0,46.3,35.1,0.0,0.0,10.6,1.3
214,"Durham, City of",North East,E14000641,68832,46252,6146,0,20496,17429,1325,0,0,856,Labour,Lib Dems,Conservative,Other,67.2,13.3,0.0,44.3,37.7,2.9,0.0,0.0,1.9
215,Durham North,North East,E14000840,67544,40967,8622,0,20698,8617,1686,0,0,1344,Labour,Conservative,Lib Dems,Other,60.7,21.0,0.0,50.5,21.0,4.1,0.0,0.0,3.3
216,Durham North West,North East,E14000856,70350,43815,8766,0,18539,10927,4324,0,0,1259,Labour,Lib Dems,Conservative,Other,62.3,20.0,0.0,42.3,24.9,9.9,0.0,0.0,2.9
217,Dwyfor Meirionnydd,Wales,W07000061,45354,28906,6447,0,4021,3538,1310,12814,0,776,Plaid,Conservative,Labour,Lib Dems,63.7,22.3,0.0,13.9,12.2,4.5,44.3,0.0,2.7
218,Ealing Central & Acton,London,E14000674,70251,47200,17944,737,14228,13041,485,0,0,765,Conservative,Labour,Lib Dems,UKIP,67.2,38.0,1.6,30.1,27.6,1.0,0.0,0.0,1.6
219,Ealing North,London,E14000675,73104,47678,14722,505,24023,6283,1460,0,0,685,Labour,Conservative,Lib Dems,Other,65.2,30.9,1.1,50.4,13.2,3.1,0.0,0.0,1.4
220,Ealing Southall,London,E14000676,66970,42756,12733,705,22024,6383,911,0,0,0,Labour,Conservative,Lib Dems,Other,63.8,29.8,1.6,51.5,14.9,2.1,0.0,0.0,0.0
221,Easington,North East,E14000677,63879,34914,4790,0,20579,5597,2317,0,0,1631,Labour,Lib Dems,Conservative,Other,54.7,13.7,0.0,58.9,16.0,6.6,0.0,0.0,4.7
222,East Ham,London,E14000679,90674,50373,7645,586,35471,5849,822,0,0,0,Labour,Conservative,Lib Dems,Other,55.6,15.2,1.2,70.4,11.6,1.6,0.0,0.0,0.0
223,"East Kilbride, Strathaven & Lesmahagow",Scotland,S14000019,76534,50946,6613,1003,26241,5052,299,0,11738,0,Labour,SNP,Conservative,Lib Dems,66.6,13.0,2.0,51.5,9.9,0.6,0.0,23.0,0.0
224,East Lothian,Scotland,S14000020,73348,49161,9661,862,21919,8288,0,0,7883,548,Labour,Conservative,Lib Dems,SNP,67.0,19.7,1.8,44.6,16.9,0.0,0.0,16.0,1.1
225,Eastbourne,South East,E14000684,77840,52124,21223,0,2497,24658,2441,0,0,1305,Lib Dems,Conservative,Labour,Other,67.0,40.7,0.0,4.8,47.3,4.7,0.0,0.0,2.5
226,Eastleigh,South East,E14000685,77436,53650,21102,0,5153,24966,496,0,0,1933,Lib Dems,Conservative,Labour,UKIP,69.3,39.3,0.0,9.6,46.5,0.9,0.0,0.0,3.6
227,Eddisbury,North West,E14000686,72100,45414,23472,0,9794,10217,0,0,0,1931,Conservative,Lib Dems,Labour,UKIP,63.0,51.7,0.0,21.6,22.5,0.0,0.0,0.0,4.3
228,Edinburgh East,Scotland,S14000022,60945,39865,4358,2035,17314,7751,274,0,8133,0,Labour,SNP,Lib Dems,Conservative,65.4,10.9,5.1,43.4,19.4,0.7,0.0,20.4,0.0
229,Edinburgh North & Leith,Scotland,S14000023,69207,47356,7079,1062,17740,16016,891,0,4568,0,Labour,Lib Dems,Conservative,SNP,68.4,14.9,2.2,37.5,33.8,1.9,0.0,9.6,0.0
230,Edinburgh South,Scotland,S14000024,59362,43801,9452,881,15215,14899,0,0,3354,0,Labour,Lib Dems,Conservative,SNP,73.8,21.6,2.0,34.7,34.0,0.0,0.0,7.7,0.0
231,Edinburgh South West,Scotland,S14000025,66361,45462,11026,872,19473,8194,367,0,5530,0,Labour,Conservative,Lib Dems,SNP,68.5,24.3,1.9,42.8,18.0,0.8,0.0,12.2,0.0
232,Edinburgh West,Scotland,S14000026,65159,46447,10767,0,12881,16684,0,0,6115,0,Lib Dems,Labour,Conservative,SNP,71.3,23.2,0.0,27.7,35.9,0.0,0.0,13.2,0.0
233,Edmonton,London,E14000687,63904,40377,12052,516,21665,4252,856,0,0,1036,Labour,Conservative,Lib Dems,UKIP,63.2,29.8,1.3,53.7,10.5,2.1,0.0,0.0,2.6
234,Ellesmere Port & Neston,North West,E14000688,66509,44233,15419,0,19750,6663,782,0,0,1619,Labour,Conservative,Lib Dems,UKIP,66.5,34.9,0.0,44.6,15.1,1.8,0.0,0.0,3.7
235,Elmet & Rothwell,Yorkshire and the Humber,E14000689,77724,55789,23778,0,19257,9109,2052,0,0,1593,Conservative,Labour,Lib Dems,Other,71.8,42.6,0.0,34.5,16.3,3.7,0.0,0.0,2.9
236,Eltham,London,E14000690,62590,41964,15753,419,17416,5299,2066,0,0,1011,Labour,Conservative,Lib Dems,Other,67.0,37.5,1.0,41.5,12.6,4.9,0.0,0.0,2.4
237,Enfield North,London,E14000691,66261,44453,18804,489,17112,5403,1707,0,0,938,Conservative,Labour,Lib Dems,Other,67.1,42.3,1.1,38.5,12.2,3.8,0.0,0.0,2.1
238,Enfield Southgate,London,E14000692,64139,44352,21928,632,14302,6124,861,0,0,505,Conservative,Labour,Lib Dems,Other,69.1,49.4,1.4,32.2,13.8,1.9,0.0,0.0,1.1
239,Epping Forest,Eastern,E14000693,72186,46584,25148,659,6641,10017,2267,0,0,1852,Conservative,Lib Dems,Labour,Other,64.5,54.0,1.4,14.3,21.5,4.9,0.0,0.0,4.0
240,Epsom & Ewell,South East,E14000694,79908,54955,30868,0,6538,14734,266,0,0,2549,Conservative,Lib Dems,Labour,UKIP,68.8,56.2,0.0,11.9,26.8,0.5,0.0,0.0,4.6
241,Erewash,East Midlands,E14000695,69655,47642,18805,534,16304,8343,2801,0,0,855,Conservative,Labour,Lib Dems,Other,68.4,39.5,1.1,34.2,17.5,5.9,0.0,0.0,1.8
242,Erith & Thamesmead,London,E14000696,69900,42476,13365,322,19068,5116,3466,0,0,1139,Labour,Conservative,Lib Dems,Other,60.8,31.5,0.8,44.9,12.0,8.2,0.0,0.0,2.7
243,Esher & Walton,South East,E14000697,75338,54543,32134,0,5829,13541,1256,0,0,1783,Conservative,Lib Dems,Labour,UKIP,72.4,58.9,0.0,10.7,24.8,2.3,0.0,0.0,3.3
244,Exeter,South West,E14000698,77158,52247,17221,792,19942,10581,1781,0,0,1930,Labour,Conservative,Lib Dems,UKIP,67.7,33.0,1.5,38.2,20.3,3.4,0.0,0.0,3.7
245,Falkirk,Scotland,S14000028,81869,50777,5698,0,23207,5225,0,0,15364,1283,Labour,SNP,Conservative,Lib Dems,62.0,11.2,0.0,45.7,10.3,0.0,0.0,30.3,2.5
246,Fareham,South East,E14000699,75915,54345,30037,791,7719,12945,618,0,0,2235,Conservative,Lib Dems,Labour,UKIP,71.6,55.3,1.5,14.2,23.8,1.1,0.0,0.0,4.1
247,Faversham & Kent Mid,South East,E14000700,68858,46712,26250,890,7748,9162,940,0,0,1722,Conservative,Lib Dems,Labour,UKIP,67.8,56.2,1.9,16.6,19.6,2.0,0.0,0.0,3.7
248,Feltham & Heston,London,E14000701,81058,48536,16516,530,21174,6679,2645,0,0,992,Labour,Conservative,Lib Dems,Other,59.9,34.0,1.1,43.6,13.8,5.4,0.0,0.0,2.0
249,Fermanagh & South Tyrone,Northern Ireland,N06000007,67908,46803,0,0,0,0,46803,0,0,0,Other,Conservative,Conservative,Conservative,68.9,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
250,Fife North East,Scotland,S14000049,62771,40064,8715,0,6869,17763,0,0,5685,1032,Lib Dems,Conservative,Labour,SNP,63.8,21.8,0.0,17.1,44.3,0.0,0.0,14.2,2.6
251,Filton & Bradley Stoke,South West,E14000702,69003,48301,19686,441,12772,12197,1699,0,0,1506,Conservative,Labour,Lib Dems,Other,70.0,40.8,0.9,26.4,25.3,3.5,0.0,0.0,3.1
252,Finchley & Golders Green,London,E14000703,70722,47157,21688,737,15879,8036,0,0,0,817,Conservative,Labour,Lib Dems,UKIP,66.7,46.0,1.6,33.7,17.0,0.0,0.0,0.0,1.7
253,Folkestone & Hythe,South East,E14000704,78005,52800,26109,637,5719,15987,1909,0,0,2439,Conservative,Lib Dems,Labour,UKIP,67.7,49.4,1.2,10.8,30.3,3.6,0.0,0.0,4.6
254,Forest of Dean,South West,E14000705,68419,48763,22853,923,11789,10676,0,0,0,2522,Conservative,Labour,Lib Dems,UKIP,71.3,46.9,1.9,24.2,21.9,0.0,0.0,0.0,5.2
255,Foyle,Northern Ireland,N06000008,65843,37889,0,0,0,0,37889,0,0,0,Other,Conservative,Conservative,Conservative,57.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
256,Fylde,North West,E14000706,65926,43690,22826,654,8624,9641,0,0,0,1945,Conservative,Lib Dems,Labour,UKIP,66.3,52.2,1.5,19.7,22.1,0.0,0.0,0.0,4.5
257,Gainsborough,East Midlands,E14000707,72939,49251,24266,0,7701,13707,1512,0,0,2065,Conservative,Lib Dems,Labour,UKIP,67.5,49.3,0.0,15.6,27.8,3.1,0.0,0.0,4.2
258,Garston & Halewood,North West,E14000708,71312,42825,6908,0,25493,8616,268,0,0,1540,Labour,Lib Dems,Conservative,UKIP,60.1,16.1,0.0,59.5,20.1,0.6,0.0,0.0,3.6
259,Gateshead,North East,E14000709,66492,38257,5716,379,20712,8163,2184,0,0,1103,Labour,Lib Dems,Conservative,Other,57.5,14.9,1.0,54.1,21.3,5.7,0.0,0.0,2.9
260,Gedling,East Midlands,E14000710,70866,48190,17962,0,19821,7350,1598,0,0,1459,Labour,Conservative,Lib Dems,Other,68.0,37.3,0.0,41.1,15.3,3.3,0.0,0.0,3.0
261,Gillingham & Rainham,South East,E14000711,70814,46786,21624,356,12944,8484,1863,0,0,1515,Conservative,Labour,Lib Dems,Other,66.1,46.2,0.8,27.7,18.1,4.0,0.0,0.0,3.2
262,Glasgow Central,Scotland,S14000029,60105,30580,2158,800,15908,5010,1101,0,5357,246,Labour,SNP,Lib Dems,Conservative,50.9,7.1,2.6,52.0,16.4,3.6,0.0,17.5,0.8
263,Glasgow East,Scotland,S14000030,61865,32164,1453,0,19797,1617,1131,0,7957,209,Labour,SNP,Lib Dems,Conservative,52.0,4.5,0.0,61.6,5.0,3.5,0.0,24.7,0.6
264,Glasgow North,Scotland,S14000031,51490,29613,2089,947,13181,9283,583,0,3530,0,Labour,Lib Dems,SNP,Conservative,57.5,7.1,3.2,44.5,31.3,2.0,0.0,11.9,0.0
265,Glasgow North East,Scotland,S14000032,59861,29409,1569,0,20100,2262,1320,0,4158,0,Labour,SNP,Lib Dems,Conservative,49.1,5.3,0.0,68.3,7.7,4.5,0.0,14.1,0.0
266,Glasgow North West,Scotland,S14000033,60997,35582,3537,882,19233,5622,878,0,5430,0,Labour,Lib Dems,SNP,Conservative,58.3,9.9,2.5,54.1,15.8,2.5,0.0,15.3,0.0
267,Glasgow South,Scotland,S14000034,65069,40094,4592,961,20736,4739,988,0,8078,0,Labour,SNP,Lib Dems,Conservative,61.6,11.5,2.4,51.7,11.8,2.5,0.0,20.1,0.0
